product_name,price_int,price_dec,a-size-small href 2,seller
Women's Karin Clog,24,75,,
Women's Professional Oil Closed Leather Clog,59,00,,
Autoclavable Clog with Upper Ventilation,98,99,,Calzuro
Women's Classic Clog,47,00,,
Women's Professional Clog,92,66,,
Women's Capri V Shimmer Flip-Flop,36,02,,
Women's Travelport Mule,34,04,,
Women's Patty Nell Mule,18,95,,
Women's Mules Slip-on Shoes Leather Clogs Flats Wallking Slipper,16,59,,Labato
Women's Bryar Closed Clogs,54,95,,Nurse Mates
Women's Commute-Carpool-Heathered Deco Stitch Mule,33,74,,
Women's Mission Clog,31,54,,Klogs USA
Klogs New Women's Mission Clog Pin Drop Patent 8,79,95,https://www.amazon.com/gp/offer-listing/B06XGNY4R1/ref=sr_1_117_olp?s=apparel&ie=UTF8&qid=1536135990&sr=1-117&nodeID=679410011&psd=1&condition=new,Klogs Footwear
Women's Mission Mandella Patent 8 M (C),79,00,,Klogs Footwear
Women's Mission Dandelion Patent Clog/Mule,128,69,https://www.amazon.com/gp/offer-listing/B01LQWQ66M/ref=sr_1_119_olp?s=apparel&ie=UTF8&qid=1536135990&sr=1-119&nodeID=679410011&psd=1&condition=new,Klogs Footwear
Women's Mission Mandella Patent Clog/Mule,79,95,,Klogs Footwear
Women's Keli Professional,44,00,,
Women's Patent Leather Pointed Toe Slingback Ankle Strap Kitten Heels Pumps Evening Stiletto Shoes 6.5CM,28,99,,Modemoven
Womens Malin Clog,97,97,,
Women's Kayla Clog,29,98,,
Crocband Platform Clog,49,99,,
Women's Leisa Sadie Mule,44,57,,
"Women's TUNEIN Mule,",47,84,,
Women's Twin Pro Clog,134,95,,
Classic Kryptek Neptune Clog,39,99,,
"Women's Illie Clog,",39,95,,
B.O.C - Womens - Peggy,44,97,,B.O.C.
Peggy Black Tooled Clog 9.5 B(M) US,49,95,,B.O.C.
B.O.C - Womens - Peggy,49,95,,B.O.C.
Women's Capri Mule,28,58,,
Women's Neria Pro II Work Clog,41,24,,
Swedish High Heel Wooden Clogs for Women | Brett,89,50,,Sandgrens
Orthaheel Technology Rest Midway Womens Mule Mary Jane,79,95,,Vionic
Women's Knitty Gritty - Knit Bungee Version of The Easy Going - Repute Mule,23,41,,
Super Unisex Clog,79,95,,
Slip Resistant Women's Buckle Gretchen Clog,39,99,,safeTstep
Womens Ultralite Strapless Clogs,6,56,,Natural Uniforms
Swedish Low Heel Wooden Clog Mules for Women | Tokyo,47,70,,Sandgrens
Women's Professional PU Clog,51,38,,
