seller,product_name,price_int,price_dec
,"Women's Cruz V2 Fresh Foam Running Shoe,",56,00
TIOSEBON,Women's Athletic Walking Shoes Comfortable Slip-On Running Sneakers,19,99
,AFW1737F Women's Torin 3 Road Running Shoe,62,09
,Torin 3 Shoe Women's Running 6 Lime,112,46
,Women's Addiction Walker Walking Shoes,101,05
,Womens Lunarglide 8 WMNS Running Shoes,74,95
,"Mens Lunarglide 8, Black / White - Anthracite",19,43
,Women's Cf Qt Racer Running Shoe,42,00
,Women's Training Shoes and Styles,129,00
,Women's Terran Post II Sandal,46,99
,Women's Goletto VI FG W Soccer Shoe,39,59
,Men's Chuck Taylor All Star Seasonal Ox,21,55
DREAM PAIRS,Women's 160912-W Adventurous Summer Outdoor Sandals,19,99
,Performance Women's Go Step Lite Slip-on Walking Shoe,29,98
,"Men's Mw577,",51,48
,Women's Whisper-w Sandal,54,95
,Performance Women's Go Walk 4 Achiever Walking Shoe,34,00
,Dance Women's Neo-Flex Jazz Shoe,22,30
,Women's WT10v1 Minimus Trail Running Shoe,94,95
WateLves,Womens Mens Water Shoes Barefoot Quick-Dry Aqua Socks Beach Swim Surf Yoga Exercise,8,99
,Womens Ravenna 9,97,85
,"Sk8-Hi Unisex Casual High-Top Skate Shoes, Comfortable and Durable in Signature Waffle Rubber Sole",24,96
,Performance Women's Go Step Lite-Solace Walking Shoe,19,99
,Performance Women's Go Step Lite-Solace Walking Shoe,19,99
Quicksilk,Women Quick Drying Mesh Slip On Water Shoes,12,99
,Women's N625 Jr. Tyette Tap Shoe,19,67
Bloch Dance Womens,Bloch Dance Women's Jason Samuels Smith Professional Tap Shoe,140,99
,Women's WW577 Hook and Loop Walking Shoe,32,01
JOOMRA,Men Women Wide Quick Dry Barefoot Hiking Water Shoes,29,89
,Women's Flex Supreme TR 5 Cross Training Shoe,48,99
,"Women's Flex Supreme TR 5 Cross Training Shoe, Grey Hot Punch White Black,",79,98
,Women's Sky Walking Shoe,26,00
,Women's Hydro Sport Water Shoe Cross-Training Shoe,34,30
,Women's Flex Appeal 2.0 Sneaker,22,49
,Sport Flex Appeal 2.0-12753 Women's Sneaker 7.5 B(M) US Black-Black,41,07
,Women's W Hurricane Xlt2 Sport Sandal,48,97
,Women's All Out Blaze Aero Sport Hiking Water Shoe,74,95
,Women's Bali Sandals,45,79
,Womens Addiction 13,129,00
Mother Bee,Women's Cowl Neck and Over The Shoulder Ruched Maternity and Nursing Dress by.,35,92
,Air Max Sequent 2 Mens Running Shoes,47,89
,Women's 510v4 Cushioning Trail Running Shoe,32,17
,Women's WT410v5 Cushioning Trail Running Shoe,42,49
,Women's V Running Shoe,58,39
Saucony,Womens Grid Stratos 5,49,99
,Old Skool Unisex Adults' Low-Top Trainers,28,98
,Performance Women's Go Step Lite-Evoke Walking Shoe,10,66
,Womens Cascadia 12,79,99
,Originals Women's Crazyflight X 2 Volleyball Shoe,71,83
,Womens Air Zoom Pegasus 35 Running Shoes,101,00
